wow loved this place	1
stopped by during the late may bank holiday off rick steve recommendation and loved it	1
the selection on the menu was great and so were the prices	1
the fries were great too	1
a great touch	1
service was very prompt	1
i tried the cape cod ravoli chickenwith cranberrymmmm	1
highly recommended	1
the food amazing	1
service is also cute	1
i could care less the interior is just beautiful	1
so they performed	1
thats rightthe red velvet cakeohhh this stuff is so good	1
this hole in the wall has great mexican street tacos and friendly staff	1
also there are combos like a burger fries and beer for 23 which is a decent deal	1
i found this place by accident and i could not be happier	1
overall i like this place a lot	1
the only redeeming quality of the restaurant was that it was very inexpensive	1
ample portions and good prices	1
my first visit to hiro was a delight	1
the shrimp tender and moist	1
on a positive note our server was very attentive and provided great service	1
the only thing i did like was the prime rib and dessert section	1
the burger is good beef cooked just right	1
if you want a sandwich just go to any firehouse	1
my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing	1
we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside	1
he came running after us when he realized my husband had left his sunglasses on the table	1
their chow mein is so good	1
the portion was huge	1
loved itfriendly servers great food wonderful and imaginative menu	1
the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked	1
this place receives stars for their appetizers	1
the cocktails are all handmade and delicious	1
wed definitely go back here again	1
we are so glad we found this place	1
great food and service huge portions and they give a military discount	1
always a great time at dos gringos	1
updatewent back for a second time and it was still just as amazing	1
a great way to finish a great	1
the deal included 5 tastings and 2 drinks and jeff went above and beyond what we expected	1
 really really good rice all the time	1
the sweet potato fries were very good and seasoned well	1
today is the second time ive been to their lunch buffet and it was pretty good	1
this place has it	1
i love the pho and the spring rolls oh so yummy you have to try	1
all i have to say is the food was amazing	1
omelets are to die for	1
everything was fresh and delicious	1
its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party	1
best breakfast buffet	1
will be back again	1
food arrived quickly	1
on the up side their cafe serves really good food	1
our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go	1
the only good thing was our waiter he was very helpful and kept the bloddy marys coming	1
best buffet in town for the price you cannot beat it	1
i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious	1
this is one of the better buffets that i have been to	1
so we went to tigerlilly and had a fantastic afternoon	1
the food was delicious our bartender was attentive and personable and we got a great deal	1
the ambience is wonderful and there is music playing	1
will go back next trip out	1
sooooo good	1
this is a really fantastic thai restaurant which is definitely worth a visit	1
nice spicy and tender	1
good prices	1
check it out	1
service was fine and the waitress was friendly	1
the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten	1
we thought youd have to venture further away to get good sushi but this place really hit the spot that night	1
phenomenal food service and ambiance	1
definitely worth venturing off the strip for the pork belly will return next time im in vegas	1
penne vodka excellent	1
they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers	1
delicious nyc bagels good selections of cream cheese real lox with capers even	1
great subway in fact its so good when you come here every other subway will not meet your expectations	1
i had a seriously solid breakfast here	1
this is one of the best bars with food in vegas	1
my drink was never empty and he made some really great menu suggestions	1
nice blanket of moz over top but i feel like this was done to cover up the subpar food	1
the bathrooms are clean and the place itself is well decorated	1
my fiancé and i came in the middle of the day and we were greeted and seated right away	1
this is a great restaurant at the mandalay bay	1
some highlights  great quality nigiri here	1
the staff is friendly and the joint is always clean	1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored	1
i ordered the voodoo pasta and it was the first time id had really excellent pasta since going gluten free several years ago	1
this place is good	1
i was seated immediately	1
their menu is diverse and reasonably priced	1
restaurant is always full but never a wait	1
delicious	1
this place is handsdown one of the best places to eat in the phoenix metro area	1
bacon is hella salty	1
this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed	1
the waitresses are very friendly	1
